#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
12870,-23018.845968771144,2762.8264918889317,-20256.01947688221,146.70695583736938,86.4
12960,-23009.644731348963,2823.9447792468254,-20185.699952102135,149.95235612240134,86.1
13050,-23214.732178771897,2791.723630636719,-20423.008548135178,148.2414029952144,86.2
13140,-23040.140857608334,2786.491416615218,-20253.649440993115,147.96357078474534,86.2
13230,-23197.181873526453,2794.496844879982,-20402.685028646472,148.38866154391746,86.3
13320,-23211.25851319643,2812.1423139166545,-20399.116199279775,149.32564150060048,86.3
13410,-22958.672211452023,2761.9013017404177,-20196.770909711606,146.65782794944093,86.3
13500,-22803.463827843967,2784.687633177795,-20018.77619466617,147.86778931679174,86.4
13590,-23111.03511032244,2789.2669374746874,-20321.76817284775,148.1109518154946,86.4
13680,-23110.39294334734,2830.8601712528543,-20279.532772094484,150.3195656133357,86.4
13770,-23031.647825591106,2782.9559038961156,-20248.69192169499,147.77583394717465,86.5
13860,-23013.733674341667,2829.2425313255894,-20184.49114301608,150.23366842432773,86.6
13950,-22957.295161290065,2763.5367102053815,-20193.758451084683,146.74466865339028,86.7
14040,-22872.3547652892,2788.3540669463737,-20084.00069834283,148.06247810327423,86.5
14130,-22881.38327745162,2790.7292220708823,-20090.654055380735,148.18859958755172,86.5
14220,-23016.35472326429,2778.066056039749,-20238.28866722454,147.51618148777428,86.6
14310,-22987.130141306334,2784.4982302812055,-20202.631911025128,147.8577319634013,86.6
14400,-22940.52595590701,2814.2668272565606,-20126.25912865045,149.4384538272698,86.6
14490,-23006.39392934527,2790.074710626751,-20216.31921871852,148.15384482397496,86.7
14580,-22961.433439778397,2781.7128178376697,-20179.720621940727,147.70982568642648,86.7
14670,-23341.085105490783,2820.3128570432364,-20520.772248447545,149.7594999108763,86.7
14760,-23159.66660226934,2778.45865189076,-20381.20795037858,147.53702845096407,86.7
14850,-23199.239234366716,2782.2821279168384,-20416.957106449878,147.74005623072145,86.7
14940,-23157.14778618519,2757.356309632152,-20399.791476553037,146.41648743874796,86.8
15030,-22924.27314454291,2790.6255805935098,-20133.6475639494,148.18309619250016,86.9
15120,-22979.29085445484,2755.9123456044977,-20223.378508850343,146.33981249464355,86.7
15210,-23159.85164497375,2812.037016105327,-20347.814628868422,149.32005015369487,86.7
15300,-23024.33297714326,2807.803054133413,-20216.52992300985,149.0952254410847,86.7
15390,-23069.963175013952,2822.783458720427,-20247.179716293525,149.89068963712634,86.8
15480,-23219.955422940897,2780.169576176946,-20439.785846763953,147.62787906877577,86.7
15570,-23122.187335342984,2815.626998395115,-20306.56033694787,149.5106793426038,86.7
15660,-23229.684758494404,2814.3551147248954,-20415.32964376951,149.44314191961146,86.7
15750,-23086.323713058606,2777.072100275177,-20309.251612783428,147.46340212400116,86.8
15840,-22992.85315614495,2804.58109928306,-20188.27205686189,148.92413862498228,86.7
15930,-23114.846048445237,2829.077198593657,-20285.768849851578,150.2248892042525,86.8
16020,-23268.444318539478,2811.1643521300257,-20457.279966409453,149.27371142208747,86.8
16110,-23302.581690516294,2781.203365570157,-20521.378324946138,147.68277361076028,86.8
16200,-23313.023735508483,2800.61516885437,-20512.408566654114,148.71354647163352,86.8
16290,-23237.271696529264,2792.3744990096766,-20444.89719751959,148.27596431056583,86.8
16380,-23079.765246981464,2816.8752261886393,-20262.890020792824,149.57696063110208,86.8
16470,-23130.052880696414,2721.6541198386035,-20408.39876085781,144.52068992966935,86.9
16560,-23323.60365482245,2777.5200988550637,-20546.083555967387,147.48719098952262,86.9
16650,-23164.52324616407,2842.732220309173,-20321.791025854898,150.94997515288435,86.9
16740,-23296.218436221578,2794.4978879893197,-20501.720548232257,148.38871693335147,86.9
16830,-23280.29225787043,2793.0737394526786,-20487.21851841775,148.31309419805328,86.9
16920,-23295.7436460983,2786.1435648236557,-20509.600081274646,147.94509974518766,86.9
17010,-23235.937612956826,2852.8321114266746,-20383.105501530154,151.48628254840395,86.9
17100,-23144.130234949655,2843.339949464797,-20300.790285484858,150.98224576222478,86.9
17190,-23286.34481382268,2808.2722330330803,-20478.0725807896,149.1201389882493,86.9
17280,-23155.694289897394,2860.3041073640543,-20295.390182533338,151.88304788318715,86.9
