Einter,Eintra,Etotal,Pinter,Pintra,Ptotal
-9.58135,1.219,-8.36235,29097.4,-28054.6,3162.92
-9.54694,1.24719,-8.29975,29606.2,-28273.2,3440.7
-9.50343,1.19674,-8.30669,29324.8,-26296.6,5147.12
-9.4803,1.2381,-8.2422,29426.3,-29496.6,2033.51
-9.55899,1.31912,-8.23987,29200.2,-28829.9,2502.04
-9.45403,1.16035,-8.29368,29205.2,-24008.5,7316.95
-9.54871,1.22594,-8.32277,29514.9,-27051.5,4552.67
-9.50902,1.27439,-8.23463,30259.3,-25831.6,6530.08
-9.53315,1.2825,-8.25065,29103.1,-27737.2,3465.61
-9.43172,1.16676,-8.26497,28635,-26264.1,4461.54
-9.55014,1.19454,-8.35559,29528.8,-28940.5,2660.39
-9.55067,1.17923,-8.37143,29586.6,-25115,6538.83
-9.65484,1.27217,-8.38268,29379.5,-28267.5,3184.42
-9.5866,1.18406,-8.40254,28412.1,-25647.8,4871.3
-9.64772,1.29007,-8.35765,28844.5,-28696.4,2229.19
-9.71178,1.2664,-8.44538,30258.9,-30057.3,2335.27
-9.58751,1.24055,-8.34696,29851,-25691.3,6214.81
-9.64455,1.22816,-8.41638,29492.7,-28502,3073.47
-9.5061,1.18579,-8.3203,29834.1,-27128.6,4807.76
-9.52874,1.21079,-8.31795,28050.6,-28641.9,1541.44
-9.4586,1.20176,-8.25684,28217.3,-27370.8,2947.96
-9.5115,1.21315,-8.29836,28367.5,-28567,1861.45
-9.6529,1.22034,-8.43255,28546.1,-26412.2,4240.65
-9.54557,1.24134,-8.30423,29835.4,-28381.8,3554.5
-9.60179,1.31951,-8.28228,29852.2,-28756.4,3184.11
-9.55153,1.19201,-8.35952,29628.7,-26326.1,5453.66
-9.58732,1.23079,-8.35653,30045.1,-26545.6,5610.1
-9.65282,1.26516,-8.38766,29268.7,-28366.4,3011.42
-9.5399,1.25897,-8.28093,29893.9,-27065.4,4909.75
-9.66599,1.27767,-8.38833,29094,-28880.5,2310.64
-9.69651,1.30549,-8.39101,30370.1,-28730.4,3774.65
-9.62606,1.28207,-8.344,29886.3,-28147.5,3865.01
-9.59662,1.2261,-8.37052,29388.5,-26741.7,4768.01
-9.58679,1.23065,-8.35614,30247,-26412.8,5940.89
-9.59082,1.21247,-8.37835,28470.3,-25287.4,5270.47
-9.55669,1.21898,-8.33771,29605.4,-27354.5,4344.06
-9.54241,1.25544,-8.28698,30235.4,-27007.6,5294.74
-9.49786,1.19566,-8.3022,29762,-26274.8,5547.3
-9.53899,1.24467,-8.29433,30356.7,-25865.9,6591.23
-9.54355,1.26042,-8.28314,29699.6,-28359.9,3450.21
-9.65297,1.20997,-8.443,30192.7,-29277.4,3019.82
-9.61504,1.24815,-8.36689,30471.8,-28033.5,4532.64
-9.57259,1.2677,-8.30489,29175.4,-27212.1,4070.91
-9.58212,1.20965,-8.37247,30280.2,-24754.3,7615.31
-9.58253,1.21626,-8.36627,29272.7,-27989.2,3382.43
-9.68567,1.27439,-8.41128,29790.5,-29189.4,2701.57
