Temp,Einter,Eintra,Etotal,Pinter,Pintra,Ptotal
151.361,-9.83189,1.39693,-8.43496,30893.3,-32392.3,643.283
146.744,-9.70646,1.33788,-8.36858,31072,-32047.2,1101.71
148.787,-9.75966,1.42685,-8.3328,29669.8,-35538.1,-3762.44
147.016,-9.65075,1.31328,-8.33746,30743.7,-34196,-1371.59
148.109,-9.77228,1.38289,-8.38939,30520.3,-33824.1,-1207.58
151.007,-9.74434,1.3914,-8.35294,30172.2,-32833.8,-524.301
151.231,-9.74885,1.33573,-8.41313,30103.7,-34098,-1853.89
151.543,-9.84098,1.54234,-8.29865,30049.3,-36068.8,-3874.6
148.761,-9.73981,1.4064,-8.33341,30651.9,-33980.8,-1223.49
150.616,-9.67791,1.35078,-8.32713,30119.8,-33201,-949.387
148.429,-9.71141,1.35924,-8.35218,29675.5,-33963.9,-2187.65
150.229,-9.83438,1.42914,-8.40523,30445.2,-35792,-3220.53
150.17,-9.68146,1.31204,-8.36942,31090.6,-33655.9,-439.897
147.396,-9.76778,1.29789,-8.46989,30284.3,-33027.4,-656.883
149.332,-9.74015,1.39426,-8.3459,30674,-34012,-1224.38
147.042,-9.76818,1.42167,-8.34651,29219.3,-37092.3,-5791.9
147.524,-9.70017,1.38762,-8.31255,30289.5,-33124.4,-747.011
147.924,-9.78174,1.31042,-8.47132,30266.6,-32945.6,-585.345
148.865,-9.72048,1.40605,-8.31443,30561.8,-31944.2,724.615
148.566,-9.8494,1.4457,-8.40369,30067.5,-36794.2,-4624
149.552,-9.76268,1.37357,-8.38911,30505.4,-35506,-2883.94
148.899,-9.69495,1.38794,-8.30701,29804.5,-33556.7,-1644.77
151.686,-9.68174,1.38252,-8.29922,31556.9,-32687.2,1016.59
151.081,-9.72001,1.39189,-8.32812,31165.1,-34393,-1089.6
147.431,-9.88447,1.36863,-8.51583,31147.1,-33173.6,60.1947
150.955,-9.92312,1.4188,-8.50432,31539.6,-35585.5,-1909.4
149.263,-9.84161,1.34486,-8.49675,32694,-34793.9,12.6801
149.952,-9.86733,1.38693,-8.4804,32192.2,-35430.5,-1115.93
149.798,-9.80293,1.42973,-8.3732,30998.6,-35017.1,-1898.35
150.194,-9.66134,1.31024,-8.3511,29572.6,-30283.2,1415.19
149.361,-9.80811,1.40668,-8.40143,29572.8,-33062.2,-1375.51
149.86,-9.76746,1.36136,-8.4061,30751.9,-31974.3,898.592
