#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
21420,-22623.054695645842,5502.667942672831,-17120.386752973012,292.19339876152617,82.2
21600,-22762.37467164328,5659.110441256224,-17103.264230387056,300.50054464931225,82.1
21780,-22921.30749687944,5764.854144395634,-17156.453352483804,306.11556855041397,82.1
21960,-22711.647308574495,5597.4757316655405,-17114.171576908953,297.22772218126534,82.2
22140,-22864.415102428233,5795.21757322935,-17069.197529198882,307.7278761730811,82.2
22320,-22869.203093806384,5818.596022466938,-17050.607071339444,308.96927918188896,82.1
22500,-22674.671655867744,5772.643542316876,-16902.028113550867,306.5291880303872,82.1
22680,-22743.970141279395,5841.721968578852,-16902.248172700543,310.1972741952922,82.2
22860,-22584.279001681425,5722.430292628125,-16861.8487090533,303.8628486760466,82.2
23040,-22551.350690617095,5622.316216951833,-16929.034473665262,298.54675976418036,82.1
23220,-22641.411472069783,5672.180612632005,-16969.23085943778,301.1945748609245,82.2
23400,-22486.22316017696,5608.70027896554,-16877.522881211422,297.82374917386505,82.2
23580,-22590.557725802588,5643.742925663773,-16946.814800138814,299.68452473710624,82.2
23760,-22582.393922564836,5649.791541789703,-16932.602380775133,300.0057081561407,82.2
23940,-22606.018393222635,5628.462718574391,-16977.555674648243,298.87314093387823,82.2
24120,-22620.02944343684,5616.892021787908,-17003.137421648935,298.258733294656,82.1
24300,-22545.01530779169,5594.806274423146,-16950.209033368545,297.0859731619477,82.2
24480,-22655.400251995816,5757.391424478253,-16898.008827517562,305.71929577521075,82.1
24660,-22574.27327898494,5648.711420910988,-16925.561858073954,299.94835339770117,82.1
24840,-22684.195048113732,5712.616739143119,-16971.578308970613,303.3417458988873,82.2
25020,-22614.705762333382,5606.846561350594,-17007.859200982788,297.7253161853769,82.2
25200,-22518.378997046064,5524.3210075316065,-16994.05798951446,293.34318331705515,82.1
25380,-22624.319549955413,5615.565582595645,-17008.753967359768,298.1882989562813,82.2
25560,-22572.319331346225,5663.127036404951,-16909.192294941276,300.7138271152329,82.2
25740,-22689.40058027026,5762.1659750672725,-16927.234605202986,305.9728259134452,82.2
25920,-22620.887122345157,5642.899487216096,-16977.987635129062,299.63973789020935,82.1
26100,-22540.616600397712,5644.784370638738,-16895.832229758973,299.73982579289014,82.2
26280,-22722.271079953935,5791.971596206344,-16930.299483747593,307.5555137720539,82.2
26460,-22648.476308943704,5707.614537275832,-16940.86177166787,303.07612740616327,82.2
26640,-22531.499546830135,5572.093552492839,-16959.405994337296,295.8799204825782,82.2
26820,-22701.0755310636,5566.406576541164,-17134.668954522436,295.57794027055985,82.2
27000,-22545.970568195116,5477.921427182825,-17068.049141012292,290.87935100435453,82.2
27180,-22801.685921438184,5694.347756078993,-17107.33816535919,302.3716571512042,82.3
27360,-22688.80433701267,5653.685675550783,-17035.118661461885,300.2124878838539,82.2
27540,-22512.930843752038,5569.793119692152,-16943.137724059885,295.7577667772015,82.2
27720,-22653.495842466364,5697.13688655458,-16956.358955911783,302.5197608568505,82.2
27900,-22891.278051191068,5812.285394804387,-17078.992656386683,308.63418286783735,82.3
28080,-22718.77802996713,5692.872741950261,-17025.905288016867,302.29333343696493,82.2
28260,-22594.563563936128,5579.424682303158,-17015.13888163297,296.2692057817014,82.2
28440,-22804.795145255892,5701.2213795237085,-17103.573765732184,302.7366487183934,82.3
28620,-22694.37536174289,5589.615486192578,-17104.75987555031,296.8103406740088,82.3
28800,-22701.593187001185,5567.644004953856,-17133.949182047327,295.6436481085387,82.2
28980,-22868.988294164563,5722.098883439087,-17146.889410725475,303.8452507438554,82.3
29160,-22793.28788386745,5514.615452111213,-17278.67243175624,292.8278152711004,82.3
29340,-22791.04737654215,5545.181907026485,-17245.865469515666,294.45090364256515,82.3
29520,-22878.038279042783,5683.663328896803,-17194.37495014598,301.8043107067688,82.3
29700,-22648.424774758096,5422.842112585871,-17225.582662172223,287.95462207264256,82.3
29880,-22592.455982213447,5486.992933567641,-17105.463048645805,291.3610508470637,82.3
30060,-22791.306087952427,5595.251292461658,-17196.05479549077,297.10960375978465,82.4
30240,-22944.7917881966,5832.438272056367,-17112.353516140232,309.70430698952293,82.3
30420,-22742.338137279265,5644.157280279864,-17098.180856999403,299.70652709756655,82.3
30600,-22643.673725282075,5679.365856872235,-16964.30786840984,301.57611359038395,82.3
30780,-22664.965505534507,5701.083639730874,-16963.881865803633,302.7293346920643,82.4
30960,-22753.88766462938,5747.833728498319,-17006.05393613106,305.2117791120574,82.2
31140,-22680.94715246925,5580.993373451554,-17099.953779017695,296.3525037751533,82.2
31320,-22824.204298329278,5823.358073535098,-17000.84622479418,309.22214559163376,82.2
31500,-22826.159290906435,5772.631476771629,-17053.527814134806,306.52854734613913,82.2
31680,-22656.33772062637,5518.986734847771,-17137.350985778598,293.05993175951096,82.2
31860,-22702.504127277338,5546.0581279873695,-17156.44599928997,294.497431251226,82.2
32040,-22853.98383442257,5615.380882189967,-17238.602952232606,298.17849130663757,82.2
32220,-22764.559588942604,5521.469684594991,-17243.089904347613,293.19177717216394,82.3
32400,-22818.369350361318,5589.834336143039,-17228.53501421828,296.8219616752231,82.2
32580,-22890.452792668963,5691.461737855139,-17198.99105481382,302.21840867564634,82.2
32760,-22902.970071503616,5687.4184931013715,-17215.551578402243,302.00371110731476,82.2
32940,-22738.636554510653,5537.005341275125,-17201.631213235527,294.01672542901906,82.3
33120,-22901.58694535296,5690.18261124782,-17211.40433410514,302.1504866504156,82.2
